# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|---:|-------:|------:|-------:|-----:|-----------------:|--------------:|--------------:|---------------:|------:|-------------:|------------:|
|   0|      23|      0|    0.04|  0.04|                 1|             23|             24|              13|     23|            20|         0.87|
|   1|      23|      0|    0.04|  0.04|                 1|             23|             24|              12|     23|            17|         0.74|
|   2|      21|      0|    0.05|  0.05|                 1|             21|             22|               7|     21|            16|         0.76|
|   3|       5|      0|    0.20|  0.20|                 1|              5|              5|               1|      5|             4|         0.80|
|   4|      25|      0|    0.04|  0.04|                 1|             25|             25|              19|     25|            22|         0.88|
|   5|      27|      0|    0.04|  0.03|                 1|             27|             30|              21|     27|            23|         0.85|
|   6|      29|      0|    0.03|  0.03|                 1|             29|             33|              21|     29|            25|         0.86|
|   7|      52|      0|    0.06|  0.05|                 3|             52|             58|              43|     52|            43|         0.83|
|   8|      17|      0|    0.06|  0.06|                 1|             17|             18|              12|     17|            16|         0.94|
|   9|      34|      0|    0.06|  0.05|                 2|             34|             37|              20|     34|            31|         0.91|
|  10|       3|      0|    0.67|  0.50|                 2|              3|              4|               0|      3|             2|         0.67|
|  11|       6|      0|    0.17|  0.14|                 1|              6|              7|               1|      6|             6|         1.00|
|  12|      23|      0|    0.04|  0.04|                 1|             23|             27|              18|     23|            20|         0.87|
|  13|      38|      0|    0.05|  0.05|                 2|             38|             39|              24|     38|            34|         0.89|
|  14|      17|      0|    0.06|  0.06|                 1|             17|             16|              12|     17|            14|         0.82|
|  15|       2|      0|    0.50|  0.33|                 1|              2|              3|               0|      2|             2|         1.00|
|  16|       1|      0|    1.00|  0.50|                 1|              1|              2|               0|      1|             1|         1.00|
|  17|      17|      0|    0.06|  0.05|                 1|             17|             20|              11|     17|            16|         0.94|
|  18|       7|      0|    0.14|  0.17|                 1|              7|              6|               5|      7|             6|         0.86|
|  19|       7|      0|    0.29|  0.25|                 2|              7|              8|               3|      7|             7|         1.00|
|  20|       5|      0|    0.20|  0.17|                 1|              5|              6|               2|      5|             5|         1.00|
|  21|       5|      0|    0.20|  0.25|                 1|              5|              4|               2|      5|             3|         0.60|
|  22|       2|      0|    0.50|  0.50|                 1|              2|              2|               0|      2|             2|         1.00|
|  23|       3|      0|    0.33|  0.25|                 1|              3|              4|               0|      3|             3|         1.00|
|  24|      37|      0|    0.05|  0.04|                 2|             37|             47|              32|     37|            33|         0.89|
|  25|      14|      0|    0.14|  0.15|                 2|             14|             13|               8|     14|            11|         0.79|
|  26|      90|      0|    0.01|  0.01|                 1|             90|            101|              85|     90|            79|         0.88|
|  27|      27|      0|    0.04|  0.04|                 1|             27|             27|              16|     27|            25|         0.93|
|  28|      49|      0|    0.02|  0.02|                 1|             49|             53|              37|     49|            43|         0.88|
|  29|      30|      0|    0.03|  0.03|                 1|             30|             34|              27|     30|            23|         0.77|
|  30|       1|      0|    1.00|  0.50|                 1|              1|              2|               0|      1|             1|         1.00|
|  31|      16|      0|    0.06|  0.06|                 1|             16|             17|              10|     16|            15|         0.94|
